fund_name,Predicted strategy,strategy evidence,source meta data
AB Global Thematic Growth Portfolio,Equity Long Only (Low Risk),"AB Global Thematic Growth Portfolio <head_breaker>

AB VPS GLOBAL THEMATIC GROWTH PORTFOLIO --------------------------------------------------------------------------------

INVESTMENT OBJECTIVE The Portfolio's investment objective is long-term growth of capital.

FEES AND EXPENSES OF THE PORTFOLIO

This table describes the fees and expenses that you may pay if you buy and hold shares of the Portfolio. Because the information does not reflect deductions at the separate account level or contract level for any charges that may be incurred under a contract, Contractholders that invest in the Portfolio should refer to the variable contract prospectus for a description of fees and expenses that apply to Contractholders. Inclusion of these charges would increase the fees and expenses provided below.

SHAREHOLDER FEES (fees paid directly from your investment) N/A

ANNUAL PORTFOLIO OPERATING EXPENSES (expenses that you pay each year as a percentage of the value of your investment)",{'source': 'MutualFundSummary/AB Global Thematic Growth Portfolio.txt'}
AB Income Fund,Fixed Income Long Only (Low Risk),"AB Income Fund

<head_breaker>

AB INCOME FUND

--------------------------------------------------------------------------------

INVESTMENT OBJECTIVE: The investment objective of the Fund is to seek high current income consistent with preservation of capital.

FEES AND EXPENSES OF THE FUND:

This table describes the fees and expenses that you may pay if you buy and hold shares of the Fund. You may qualify for sales charge reductions if you and members of your family invest, or agree to invest in the future, at least $100,000 in AB Mutual Funds. More information about these and other discounts is available from your financial intermediary and in Investing in the Fund--Sales Charge Reduction Programs for Class A Shares on page 61 of this Prospectus, in Appendix C--Financial Intermediary Waivers of this Prospectus and in Purchase of Shares--Sales Charge Reduction Programs for Class A Shares on page 126 of the Fund's Statement of Additional Information (""SAI"").",{'source': 'MutualFundSummary/AB Income Fund.txt'}
AB Intermediate Bond Portfolio,Fixed Income Long Only (Low Risk),"AB Intermediate Bond Portfolio

<head_breaker>

AB INTERMEDIATE BOND PORTFOLIO

--------------------------------------------------------------------------------

INVESTMENT OBJECTIVE The Fund's investment objective is to generate income and price appreciation without assuming what the Adviser considers undue risk.

FEES AND EXPENSES OF THE FUND",{'source': 'MutualFundSummary/AB Intermediate Bond Portfolio.txt'}
AB Limited Duration High Income Portfolio,Fixed Income Long Only (Low Risk),"AB Limited Duration High Income Portfolio <head_breaker>

AB LIMITED DURATION HIGH INCOME PORTFOLIO --------------------------------------------------------------------------------

INVESTMENT OBJECTIVE The Fund's investment objective is to seek the highest level of income that is available without assuming what the Adviser considers to be undue risk to principal.

FEES AND EXPENSES OF THE FUND",{'source': 'MutualFundSummary/AB Limited Duration High Income Portfolio.txt'}
AB Massachusetts Portfolio,Fixed Income Long Only (Low Risk),"AB Massachusetts Portfolio

<head_breaker>

AB Massachusetts Portfolio

--------------------------------------------------------------------------------

INVESTMENT OBJECTIVE: The investment objective of the Portfolio is to earn the highest level of current income exempt from both federal income tax and Commonwealth of Massachusetts personal income tax that is available without assuming what the Adviser considers to be undue risk.

FEES AND EXPENSES OF THE PORTFOLIO:",{'source': 'MutualFundSummary/AB Massachusetts Portfolio.txt'}
AB Minnesota Portfolio,Fixed Income Long Only (Low Risk),"AB Minnesota Portfolio

<head_breaker>

AB Minnesota Portfolio

--------------------------------------------------------------------------------

INVESTMENT OBJECTIVE: The investment objective of the Portfolio is to earn the highest level of current income exempt from both federal income tax and State of Minnesota personal income tax that is available without assuming what the Adviser considers to be undue risk.

FEES AND EXPENSES OF THE PORTFOLIO:",{'source': 'MutualFundSummary/AB Minnesota Portfolio.txt'}
AB Municipal Bond Inflation Strategy,Fixed Income Long Only (Low Risk),"AB Municipal Bond Inflation Strategy <head_breaker>

AB MUNICIPAL BOND INFLATION STRATEGY --------------------------------------------------------------------------------

INVESTMENT OBJECTIVE The Fund's investment objective is to maximize real after-tax return for investors subject to federal income taxes, without undue risk to principal.

FEES AND EXPENSES OF THE FUND",{'source': 'MutualFundSummary/AB Municipal Bond Inflation Strategy.txt'}
AB New Jersey Portfolio,Fixed Income Long Only (Low Risk),"AB New Jersey Portfolio

<head_breaker>

AB New Jersey Portfolio

--------------------------------------------------------------------------------

INVESTMENT OBJECTIVE: The investment objective of the Portfolio is to earn the highest level of current income exempt from both federal income tax and State of New Jersey personal income tax that is available without assuming what the Adviser considers to be undue risk.

FEES AND EXPENSES OF THE PORTFOLIO:",{'source': 'MutualFundSummary/AB New Jersey Portfolio.txt'}
AB New York Portfolio,Fixed Income Long Only (Low Risk),"AB New York Portfolio

<head_breaker>

AB New York Portfolio

--------------------------------------------------------------------------------

INVESTMENT OBJECTIVE: The investment objective of the Portfolio is to earn the highest level of current income exempt from both federal income tax and New York State and City income tax that is available without assuming what the Adviser considers to be undue risk to principal or income.

FEES AND EXPENSES OF THE PORTFOLIO:",{'source': 'MutualFundSummary/AB New York Portfolio.txt'}
AB Pennsylvania Portfolio,Fixed Income Long Only (Low Risk),"AB Pennsylvania Portfolio

<head_breaker>

AB Pennsylvania Portfolio

--------------------------------------------------------------------------------

INVESTMENT OBJECTIVE: The investment objective of the Portfolio is to earn the highest level of current income exempt from both federal income tax and Commonwealth of Pennsylvania personal income tax that is available without assuming what the Adviser considers to be undue risk.

FEES AND EXPENSES OF THE PORTFOLIO:",{'source': 'MutualFundSummary/AB Pennsylvania Portfolio.txt'}
AB Real Estate Investment Portfolio,Balanced Fund (Low Risk),"AB Real Estate Investment Portfolio <head_breaker>

AB VPS REAL ESTATE INVESTMENT PORTFOLIO --------------------------------------------------------------------------------

INVESTMENT OBJECTIVE The Portfolio's investment objective is total return from long-term growth of capital and income.

FEES AND EXPENSES OF THE PORTFOLIO

This table describes the fees and expenses that you may pay if you buy and hold shares of the Portfolio. Because the information does not reflect deductions at the separate account level or contract level for any charges that may be incurred under a contract, Contractholders that invest in the Portfolio should refer to the variable contract prospectus for a description of fees and expenses that apply to Contractholders. Inclusion of these charges would increase the fees and expenses provided below.

SHAREHOLDER FEES (fees paid directly from your investment) N/A",{'source': 'MutualFundSummary/AB Real Estate Investment Portfolio.txt'}
AB Small Cap Value Portfolio,Equity Long Only (Low Risk),"AB Small Cap Value Portfolio <head_breaker>

AB SMALL CAP VALUE PORTFOLIO --------------------------------------------------------------------------------

INVESTMENT OBJECTIVE The Fund's investment objective is to seek long-term growth of capital.

FEES AND EXPENSES OF THE FUND

This table describes the fees and expenses that you may pay if you buy and hold shares of the Fund. You may qualify for sales charge reductions if you and members of your family invest, or agree to invest in the future, at least $100,000 in AB Mutual Funds. More information about these and other discounts is available from your financial intermediary and in Investing in the Funds--Sales Charge Reduction Programs for Class A Shares on page 69 of this Prospectus, in Appendix B--Financial Intermediary Waivers of this Prospectus and in Purchase of Shares--Sales Charge Reduction Programs for Class A Shares on page 129 of the Fund's Statement of Additional Information (""SAI"").",{'source': 'MutualFundSummary/AB Small Cap Value Portfolio.txt'}
AB Small/Mid Cap Value Portfolio,Equity Long Only (Low Risk),"AB Small/Mid Cap Value Portfolio <head_breaker>

AB VPS SMALL/MID CAP VALUE PORTFOLIO --------------------------------------------------------------------------------

INVESTMENT OBJECTIVE The Portfolio's investment objective is long-term growth of capital.

FEES AND EXPENSES OF THE PORTFOLIO

This table describes the fees and expenses that you may pay if you buy and hold shares of the Portfolio. Because the information does not reflect deductions at the separate account level or contract level for any charges that may be incurred under a contract, Contractholders that invest in the Portfolio should refer to the variable contract prospectus for a description of fees and expenses that apply to Contractholders. Inclusion of these charges would increase the fees and expenses provided below.

SHAREHOLDER FEES (fees paid directly from your investment) N/A

ANNUAL PORTFOLIO OPERATING EXPENSES (expenses that you pay each year as a percentage of the value of your investment)",{'source': 'MutualFundSummary/AB SmallMid Cap Value Portfolio.txt'}
AB Tax-Aware Fixed Income Portfolio,Fixed Income Long Only (Low Risk),"AB Tax

Aware Fixed Income Portfolio

<head_breaker>

TAX

AWARE

--------------------------------------------------------------------------------

AB TAX

AWARE FIXED INCOME PORTFOLIO

--------------------------------------------------------------------------------

INVESTMENT OBJECTIVE The investment objective of the Fund is to seek to maximize after-tax return and income.

FEES AND EXPENSES OF THE FUND",{'source': 'MutualFundSummary/AB Tax-Aware Fixed Income Portfolio.txt'}
AB Virginia Portfolio,Fixed Income Long Only (Low Risk),"AB Virginia Portfolio

<head_breaker>

AB Virginia Portfolio

--------------------------------------------------------------------------------

INVESTMENT OBJECTIVE:

The investment objective of the Portfolio is to earn the highest level of current income exempt from both federal income tax and Commonwealth of Virginia personal income tax that is available without assuming what the Adviser considers to be undue risk.

FEES AND EXPENSES OF THE PORTFOLIO:",{'source': 'MutualFundSummary/AB Virginia Portfolio.txt'}
AC ALTERNATIVES DISCIPLINED LONG SHORT FUND,Balanced Fund (Low Risk),"AC ALTERNATIVES DISCIPLINED LONG SHORT FUND

<head_breaker>

Fund Summary

Investment Objective

The fund seeks long-term capital growth.

Fees and Expenses

The following table describes the fees and expenses you may pay if you buy and hold shares of the fund. You may qualify for sales charge discounts if you and your family invest, or agree to invest in the future, at least $50,000 in American Century Investments funds. More information about these and other discounts is available from your financial professional and in Calculation of Sales Charges on page 14 of the fund’s prospectus, Appendix A of the fund’s prospectus and Sales Charges in Appendix B of the statement of additional information.

Shareholder Fees (fees paid directly from your investment)

Investor

I1

A

C

R

Maximum Sales Charge (Load) Imposed on

Purchases (as a percentage of offering price)

None

None

5.75%

None

None

Maximum Deferred Sales Charge (Load)

(as a percentage of the lower of the original",{'source': 'MutualFundSummary/AC ALTERNATIVES DISCIPLINED LONG SHORT FUND.txt'}
AC ALTERNATIVES EQUITY MARKET NEUTRAL FUND,Balanced Fund (Low Risk),"AC ALTERNATIVES EQUITY MARKET NEUTRAL FUND

<head_breaker>

Fund Summary

Investment Objective

The fund seeks capital appreciation independent of equity market conditions.

Fees and Expenses

The following table describes the fees and expenses you may pay if you buy and hold shares of the fund. You may qualify for sales charge discounts if you and your family invest, or agree to invest in the future, at least $50,000 in American Century Investments funds. More information about these and other discounts is available from your financial professional and in Calculation of Sales Charges on page 15 of the fund’s prospectus, Appendix A of the fund’s prospectus and Sales Charges in Appendix B of the statement of additional information.

Shareholder Fees (fees paid directly from your investment)

Investor

I1

Y

A

C

R

R5

Maximum Sales Charge (Load) Imposed on Purchases (as a percentage of offering price)

None

None

None

5.75%

None

None

None",{'source': 'MutualFundSummary/AC ALTERNATIVES EQUITY MARKET NEUTRAL FUND.txt'}
ADAPTIVE EQUITY FUND,Equity Long Only (Low Risk),"The fund uses an approach to common stock investing developed by the fund’s investment advisor. This approach relies heavily on quantitative tools to identify attractive investment opportunities, regardless of company size, industry type or geographic location, on a disciplined, consistent basis.

The portfolio managers use these quantitative tools to rank stocks from most attractive to least attractive in a model that uses factors that the advisor believes are predictive of a stock’s performance. These factors can be classified into categories related to general market conditions and those based on stock specific criteria. Factors related to general market conditions help determine the importance of the stock specific criteria, which may include those related to valuation, quality, growth and sentiment. The managers also use portfolio optimization to provide a balance between risk and expected return.",{'source': 'MutualFundSummary/ADAPTIVE EQUITY FUND.txt'}
Aggressive Growth Fund,Equity Long Only (Low Risk),"Aggressive Growth Fund

<head_breaker>",{'source': 'MutualFundSummary/Aggressive Growth Fund.txt'}
ALL CAP GROWTH FUND,Equity Long Only (Low Risk),"ALL CAP GROWTH FUND

<head_breaker>

Fund Summary Investment Objective The fund seeks long-term capital growth. Fees and Expenses The following table describes the fees and expenses you may pay if you buy and hold shares of the fund. You may qualify for sales charge discounts if you and your family invest, or agree to invest in the future, at least $50,000 in American Century Investments funds. More information about these and other discounts is available from your financial professional and in Calculation of Sales Charges on page 12 of the fund’s prospectus, Appendix A of the fund’s prospectus and Sales Charges in Appendix B of the statement of additional information. Shareholder Fees (fees paid directly from your investment)",{'source': 'MutualFundSummary/ALL CAP GROWTH FUND.txt'}
AllianzGI Emerging Markets Opportunities Fund,Equity Long Only (Low Risk),"Principal Investment Strategies

The Fund seeks to achieve its investment objective by normally investing at least 80% of its net assets (plus borrowings made for investment purposes) in securities of companies that are tied economically to countries with emerging securities markets–that is, countries with securities markets that are, in the opinion of the portfolio managers, less sophisticated than more developed markets in terms of participation by investors, analyst

Prospectus	 	 	1 Table of Contents AllianzGI Emerging Markets Opportunities Fund (continued)",{'source': 'MutualFundSummary/AllianzGI Emerging Markets Opportunities Fund.txt'}
AllianzGI Focused Growth Fund,Equity Long Only (Low Risk),"AllianzGI Focused Growth Fund

<head_breaker>

Investment Objective

The Fund seeks long

term capital appreciation.

Fees and Expenses of the Fund",{'source': 'MutualFundSummary/AllianzGI Focused Growth Fund.txt'}
AllianzGI Global Natural Resources Fund,Equity Long Only (Low Risk),"Principal Investment Strategies

The Fund seeks to achieve its investment objective by normally investing at least 80% of its net assets (plus borrowings made for investment purposes) in equity securities of companies that are associated with natural resources, including those companies that are principally or substantially engaged in the research, development, manufacturing, extraction, distribution or sale of materials, energy or goods related to the Agriculture, Energy, Materials or Commodity-Related Industrials sectors. The Fund considers (i) the Agriculture sector to include products such as grain, vegetable oils, livestock and agricultural-type products such as coffee; (ii) the Energy sector to include products such as natural gas, oil, alternative energy and electricity, energy storage and coal; (iii) the Materials sector to include products such as

Prospectus	 	 	9 Table of Contents AllianzGI Global Natural Resources Fund (continued)",{'source': 'MutualFundSummary/AllianzGI Global Natural Resources Fund.txt'}
AllianzGI Global Small-Cap Fund,Equity Long Only (Low Risk),"Principal Investment Strategies

The Fund seeks to achieve its objective by normally investing at least 80% of its net assets (plus borrowings made for investment purposes) in companies with market capitalizations comparable to those of companies included in the MSCI World Small-Cap Index (between $[    ] million and $[    ] billion as of June 30, 2018). Under normal market and other conditions, the Fund expects to maintain a weighted-average market capitalization between 50% and 200% of the weighted-average market capitalization of the securities in the MSCI World Small-Cap Index, which as of June 30, 2018 would permit the Fund to maintain a weighted- average market capitalization ranging from $[    ] billion to $[    ] billion. The Fund normally will allocate its investments among securities of

Prospectus	 	 	13

Table of Contents

AllianzGI Global Small

Cap Fund (continued)",{'source': 'MutualFundSummary/AllianzGI Global Small-Cap Fund.txt'}
AllianzGI Health Sciences Fund,Equity Long Only (Low Risk),"Principal Investment Strategies

The Fund seeks to achieve its objective by normally investing at least 80% of its net assets (plus borrowings made for investment purposes) in health sciences-related companies. The Fund considers health sciences-related companies to include companies that design, manufacture or sell products or services used for or in connection with healthcare, medicine or life sciences. The Fund will invest primarily in common stocks and other equity securities. Although the Fund may invest in companies of any market capitalization, the Fund does not currently intend to invest more than 15% of its assets in companies with market capitalizations below $1 billion. The Fund

18	 	Allianz Funds Table of Contents AllianzGI Health Sciences Fund (continued)",{'source': 'MutualFundSummary/AllianzGI Health Sciences Fund.txt'}
AllianzGI Income & Growth Fund,Balanced Fund (Low Risk),"AllianzGI Income & Growth Fund <head_breaker>

Investment Objective

The Fund seeks total return comprised of current income, current gains and capital appreciation.

Fees and Expenses of the Fund",{'source': 'MutualFundSummary/AllianzGI Income _ Growth Fund.txt'}
AllianzGI Mid-Cap Fund,Equity Long Only (Low Risk),"Please see “Summary of Principal Risks” in the Fund’s prospectus for a more detailed description of the Fund’s risks. It is possible to lose money on an investment in the Fund. An investment in the Fund is not a deposit of a bank and is not insured or guaranteed by the Federal Deposit Insurance Corporation or any other government agency.

Performance Information

The performance information below provides some indication of the risks of investing in the Fund by showing changes in its total return from year to year and by comparing the Fund’s average annual total returns with those of a broad-based market index and performance averages of similar mutual funds. The bar chart and the information

Prospectus	 	 	27

Table of Contents

AllianzGI Mid

Cap Fund (continued)",{'source': 'MutualFundSummary/AllianzGI Mid-Cap Fund.txt'}
AllianzGI NFJ Dividend Value Fund,Equity Long Only (Low Risk),"AllianzGI NFJ Dividend Value Fund <head_breaker>

Investment Objective

The Fund seeks long-term growth of capital and income.

Fees and Expenses of the Fund",{'source': 'MutualFundSummary/AllianzGI NFJ Dividend Value Fund.txt'}
AllianzGI NFJ International Value Fund,Equity Long Only (Low Risk),"AllianzGI NFJ International Value Fund <head_breaker>

Investment Objective

The Fund seeks long-term growth of capital and income.

Fees and Expenses of the Fund",{'source': 'MutualFundSummary/AllianzGI NFJ International Value Fund.txt'}
AllianzGI NFJ Large-Cap Value Fund,Equity Long Only (Low Risk),"AllianzGI NFJ Large

Cap Value Fund

<head_breaker>

Investment Objective

The Fund seeks long-term growth of capital and income.

Fees and Expenses of the Fund",{'source': 'MutualFundSummary/AllianzGI NFJ Large-Cap Value Fund.txt'}
AllianzGI NFJ Mid-Cap Value Fund,Equity Long Only (Low Risk),"AllianzGI NFJ Mid

Cap Value Fund

<head_breaker>

Investment Objective

The Fund seeks long-term growth of capital and income.

Fees and Expenses of the Fund",{'source': 'MutualFundSummary/AllianzGI NFJ Mid-Cap Value Fund.txt'}
AllianzGI NFJ Small-Cap Value Fund,Equity Long Only (Low Risk),"Prospectus	 	 	47

Table of Contents

AllianzGI NFJ Small

Cap Value Fund (continued)

Please see “Summary of Principal Risks” in the Fund’s prospectus for a more detailed description of the Fund’s risks. It is possible to lose money on an investment in the Fund. An investment in the Fund is not a deposit of a bank and is not insured or guaranteed by the Federal Deposit Insurance Corporation or any other government agency.

Performance Information",{'source': 'MutualFundSummary/AllianzGI NFJ Small-Cap Value Fund.txt'}
